Week,12M Fwd EPS 1W Chg
2,4.366197183
3,-1.012145749
4,0.102249489
5,-1.055498808
6,0.309704061
7,-0.789022298
8,-1.141078838
9,1.504022385
10,1.619572708
11,0
12,-0.915564598
13,-10.26694045
14,0.266971777
15,0.152149106
16,-3.570072161
17,1.260338716
18,1.011279658
19,-0.231035811
20,-0.424546507
21,-0.348837209
22,2.567094516
23,-0.113765643
24,0.455580866
25,-0.831443689
26,-3.353658537
27,2.129337539
28,-0.27027027
29,-0.658149439
30,-3.546375682
31,0.808080808
32,-0.120240481
33,0.44141252
34,-1.518178186
35,-3.651115619
36,3.031578947
37,0.899060074
38,-0.769542325
39,-6.571428571
40,-1.660113587
41,-0.844069303
42,-0.224014337
43,-2.873821284
44,-0.323624595
45,-0.278293135
46,-0.418604651
47,0.140121439
48,1.399253731
49,5.105795768
50,-0.175054705
51,0.964489259
52,2.822405558
1,6.672297297
2,0.554235946
3,0.669291339
4,4.771216269
5,5.673758865
6,1.801483575
7,0.312283137
8,1.037703217
9,1.437863745
10,5.129935876
11,0.064205457
12,0.417067693
13,2.14057508
14,4.160150141
15,0.48048048
16,1.016138673
17,3.875739645
18,3.902022216
19,0.493421053
20,0.054555374
21,0.599781897
22,1.327913279
23,2.005883926
24,3.041426324
25,-0.254452926
26,0.204081633
27,1.145621181
28,1.18298515
29,-0.845771144
30,-1.003512293
31,0.380131779
32,0.22721535
33,0.528967254
34,-0.275620145
35,-1.130653266
36,0.482846252
37,2.25088518
38,0.766757358
39,-8.345606284
40,0.723085163
41,-1.621909067
42,-0.135135135
43,-1.109607578
44,0.164203612
45,-0.792349727
46,-0.302946847
47,-1.298342541
48,-1.847187238
49,1.454234388
50,-0.983698707
51,0.283848992
52,-1.103877724
1,-3.033772181
2,-0.118063754
3,0
4,-0.561465721
5,0.178306092
6,-0.207653515
7,-0.416171225
8,0.268656716
9,-1.577850551
10,1.300665457
11,0.089578979
12,-2.505966587
13,-3.029375765
14,4.954244241
15,-1.383042694
16,-0.518292683
17,-0.674226172
18,0.61709349
19,1.318613922
20,1.271186441
21,-1.464435146
22,-0.667273279
23,1.557251908
24,-2.224894768
25,-0.553505535
26,-1.267779839
27,2.568117758
28,-1.190839695
29,0.988875155
30,-0.244798042
31,2.73006135
32,0.447894894
33,-2.437574316
34,0.975015235
35,0.271575136
36,1.775504063
37,0.029568303
38,-0.35471475
39,0.949273213
40,3.379371143
41,-0.142126208
42,1.081696556
43,2.281047592
44,0.055066079
45,2.669235003
46,3.832752613
47,-0.490449148
48,0.622568093
49,1.830368652
50,0.329113924
51,-0.302800908
52,-0.050620096
1,11.97771588
2,-0.814111262
3,0.66119471
4,-7.406568516
5,-5.675146771
6,0.20746888
7,-0.362318841
8,-1.350649351
9,-1.421800948
10,4.834401709
11,1.324840764
12,0.653759115
13,0.099925056
14,8.809583229
15,1.743119266
16,1.871055005
17,2.456295641
18,-0.410367171
19,2.01691607
20,-0.085034014
21,-1.021276596
22,0.214961307
23,0.643500644
24,-3.111679454
25,0.241970963
26,-0.197498354
27,0.505716799
28,-0.546926274
29,0.131984162
30,-1.515817223
31,-0.089225965
32,0.357222594
33,-0.378197998
34,0.312639571
35,0.378450579
36,0.643158128
37,0.264433671
38,-0.263736264
39,-0.396650507
40,0.132743363
41,0.154661953
42,0.639752923
43,-1.315212626
44,-0.244335851
45,0.645735916
46,0.154867257
47,0.419703998
48,-0.153981522
49,1.167658074
50,-1.110627178
51,-2.334287602
52,1.262683202
1,-0.044533511
2,0.378703497
3,-0.177541056
4,-0.42240996
5,-1.294931904
6,0.452386338
7,-0.247691961
8,0.090293454
9,0.135317997
10,1.531531532
11,-0.022182786
12,0.465941868
13,-0.176678445
14,1.946902655
15,-0.303819444
16,-0.065302569
17,-1.633631017
18,-0.155004429
19,1.64116212
20,-0.480034912
21,0.065775049
22,-0.153374233
23,-0.021944262
24,-0.768217735
25,0.066357001
26,-0.132625995
27,0.996015936
28,-0.525969757
29,0.374531835
30,0.285338016
31,0.831691836
32,2.23572824
33,-0.021231423
34,0
35,0.084943725
36,0.806280501
37,0.042096401
38,0.084157374
39,0.378389741
40,-0.041884817
41,1.17326629
42,-0.476289087
43,-0.540990429
44,0.39748954
45,0.625130235
46,-0.020708221
47,0.289975145
48,-0.28913672
49,0.994200497
50,0.205086136
51,0.266066312
52,-0.122473974
1,-0.265685673
2,0.06147541
3,0.081916854
4,0.920810313
5,0.182481752
6,1.173851447
7,0.140028006
8,-0.419496604
9,-0.36108325
10,0.946245218
11,-0.498603909
12,-0.521146522
13,-0.342534757
14,-0.505458957
15,1.361511888
16,-0.641539695
17,-1.170298628
18,0.081665986
19,0.95879233
20,0.101030511
21,-0.423899879
22,-0.32434624
23,0.67114094
24,1.898989899
25,-1.704996035
26,-0.685760387
27,-0.182778229
28,0.467955239
29,-1.215066829
30,-0.963509635
31,-0.413992962
32,0.665142382
33,-0.702044187
34,0.020794344
35,-0.103950104
36,0.770031217
37,-0.041305246
38,0.020661157
39,0.061970667
40,-0.639966969
41,1.142738417
42,-0.267050123
43,0.370751802
44,-0.123127437
45,0.821861516
46,0.040758101
47,-0.305561214
48,-0.204331835
49,1.146601147
50,-0.44534413
51,-0.142334282
52,-0.12217471
1,0.04077472
2,1.467291624
3,-0.100421771
4,-0.784077201
5,-0.709219858
6,1.12244898
7,-0.484359233
8,0.10139931
9,0.040518639
10,0.749291211
11,-0.08040201
12,-0.281633474
13,-0.080693968
14,-0.585503735
15,1.096669374
16,0
17,0.080353556
18,-0.361300682
19,0.644641418
20,1.180944756
21,-0.118694362
22,-0.514953456
23,0.696794744
24,0.079082641
25,-0.177795338
26,0.098951118
27,0.474495848
28,1.436442346
29,0.83414161
30,1.635244325
31,0.624645088
32,2.276147479
33,0.625344859
34,0.456954853
35,0.272925764
36,0.580656868
37,1.190690962
38,1.230165805
39,-0.387460373
40,0.070721358
41,0.600706714
42,0.105374078
43,-0.403508772
44,-0.123304562
45,0.458553792
46,0.386235955
47,0.209863589
48,0.157068063
49,-0.348492769
50,1.171533485
51,0.155547874
52,-0.207075065
1,-0.363133322
2,1.457827143
3,-0.376325693
4,0.01717033
5,-0.549356223
6,0.673226308
7,-0.480109739
8,-0.620261888
9,-0.260055479
10,-0.434555884
11,0.94273743
12,-0.553441716
13,-0.347826087
14,-0.558464223
15,1.772551773
16,-0.189687877
17,0.086385625
18,-0.828586225
19,1.166231506
20,0.206469374
21,0
22,0.01717033
23,0.17167382
24,1.422450728
25,0.62521122
26,0.050377834
27,0.318898959
28,1.204617701
29,-0.677797983
30,-0.416111851
31,-1.25355173
32,-1.692620176
33,-0.447658402
34,-0.363196126
35,-1.475438292
36,-1.955602537
37,0.700808625
38,-1.088508208
39,-0.216489266
40,-1.735671669
41,-0.938362466
42,-2.321693908
43,0.589465678
44,-1.984877127
45,-4.628736741
46,-0.990899899
47,-2.10375817
48,-1.836010849
49,-2.252922423
50,-0.108719287
51,-2.307357423
52,-4.166666667
1,-1.674029296
2,-1.158666351
3,-1.339712919
4,-2.206595538
5,-3.793701959
6,-3.273195876
7,1.065814015
8,-3.401001846
9,-1.009825328
10,-1.488833747
11,2.882731598
12,0.380848749
13,-0.948509485
14,0.054719562
15,3.472791906
16,0.449260042
17,0.841883715
18,0.887033655
19,2.689423326
20,3.198186855
21,-0.317227916
22,0.611995104
23,0.389294404
24,3.58700921
25,2.480112307
26,0.547945205
27,0.295186194
28,3.939325334
29,1.720758005
30,1.605995717
31,2.170706006
32,4.826732673
33,2.774498229
34,1.225349416
35,0.472857953
36,0.451807229
37,2.38005997
38,0.713893465
39,0.599781897
40,0.740740741
41,3.102582496
42,0.382675248
43,0.727776815
44,0.430070532
45,1.216169921
46,2.860044001
47,-0.016452781
48,0.296198782
49,0.246103363
50,2.09492635
51,0
52,0.032061558
1,0.080128205
2,0.112089672
3,0.719769674
4,0.428775607
5,0.332068311
6,-0.236406619
7,1.469194313
8,0.171259536
9,-0.077712154
10,0.466635558
11,1.021830005
12,-0.505747126
13,-0.046210721
14,0.107874865
15,2.001231527
16,0.407485663
17,0.390801142
18,2.335678994
19,1.141185077
20,1.793721973
21,0.468949837
22,0.226308345
23,0.395145357
24,1.054259207
25,-2.698567256
26,0.142959257
27,0.142755175
28,2.893799002
29,0.484898864
30,-0.344684958
31,-0.428887659
32,0.458524385
33,0.968188105
34,0.054794521
35,-0.054764513
36,0.054794521
37,0.533953998
38,1.280130737
39,-0.416834745
40,-0.202538482
41,0.013529969
42,-0.716991342
43,-0.17713585
44,0.750750751
45,-0.040644899
46,0.799674709
47,0.228586796
48,-0.053662463
49,0.362416107
50,1.324060452
51,0.60718057
52,0.091839412
1,0.419452091
2,0.026106252
3,0.039149158
4,0.45656144
5,0.311647838
6,0.064724919
7,1.358344114
8,0.280791321
9,0.089092529
