Date,KOSPI,KOSPI 200,KOSDAQ,CESI Global,US Bond Spread,Citi Macro Risk Index,USDKRW,VIX,VKOSPI,DB Risk Index,12M Fwd EPS 1M Chg,12M Fwd BPS 1M Chg,12M Fwd EPS 3M Chg,12M Fwd BPS 3M Chg,12M Fwd PE 1M Chg,12M Fwd PB 1M Chg,Pct MEMB Above MA 200d,KOSPI Target Price,Institional,Foreigner,Retail
2006-05-07,2.756781426,2.753201077,-0.642327357,43.1,31.578,0.25,-1.437113186,11.62,19.14,0.36805682,5.211340588,515.9767273,1.03070799,515.9767273,-1.836103595,-82.97668946,65.2,3.30006163,10041.21,-11523.75,1482.54
2006-05-14,0.871070412,0.861743954,-2.634230807,42.9,37.802,0.431,-2.66082329,14.19,19.43,1.262106228,8.639053254,546.2429091,5.222437137,546.2429091,-7.035569393,-84.18628086,65.37,3.319436549,12855.02,-19090.94,6235.91
2006-05-21,-5.444736135,-5.451647184,-6.119830646,40.1,25.938,0.545,-0.237216658,17.18,21.91,1.360063959,1.508859358,13.40504455,5.822930947,575.0429091,-6.80017518,-16.84035015,56.1,2.81785647,21694.15,-39207.85,17513.69
2006-05-28,-6.85341579,-6.664856056,-7.517798786,37.9,23.934,0.551,0.243850721,14.26,23.08,0.796866318,3.438856983,19.12952751,5.402512132,606.3835152,-9.933967858,-21.99575372,46.5,1.387147627,25029.18,-37834.86,12805.66
2006-06-04,-9.158790301,-9.161407637,-11.16844714,40.9,19.088,0.564,0.893997446,14.32,21.74,0.38618272,3.496798705,19.24102603,5.364945204,634.4969697,-12.4355188,-24.4924406,40.65,0.23187871,23081.48,-31509.69,8428.18
2006-06-11,-14.49972322,-14.77011801,-15.64117141,46,10.253,0.561,2.320844723,18.12,28.4,0.531697442,0.251906318,17.96041042,5.389350129,662.3107879,-14.62251225,-27.67410105,29.94,-0.306911625,26754.23,-36679.57,9925.32
2006-06-18,-8.023085499,-8.36798921,-10.85398445,46.9,24.553,0.54,1.003963012,17.25,24.32,0.123960145,-0.729578617,16.79508948,3.955730096,688.4169697,-7.334785766,-21.35338346,34.26,-0.999035162,28794.9,-30945.4,2150.48
2006-06-25,-7.093759216,-7.536518652,-11.75876702,45,31.507,0.543,1.11581174,15.89,26.12,0.371226285,-1.8687792,16.48262494,5.380644223,722.8140606,-5.320656601,-20.35928144,26.79,-1.556101055,15269.57,-20747.56,5477.98
2006-07-02,-1.061082931,-1.413011481,-3.615951961,49,16.853,0.485,0.073839662,13.08,22.72,-0.40639168,-0.584636302,16.47118622,5.246491544,755.4773333,-0.345145478,-15.2173913,34.85,-3.444974902,22333.54,-26747.26,4413.73
2006-07-09,3.097964634,3.189023244,-0.97976534,43.2,17.271,0.508,-0.691461498,13.97,23.94,-0.530399634,-0.054329372,16.3610992,8.94218669,787.0332121,2.978900446,-11.51667716,30.45,-4.529537663,15688.45,-18604.21,2915.78
2006-07-16,-0.559345265,-0.441582337,-4.670573005,41.2,1.243,0.554,-0.198796756,18.05,26.88,0.149505658,1.717150903,13.85392132,9.534023669,797.6436364,-2.234694818,-12.81070746,28.93,-4.271474569,8174.48,-14470.99,6296.54
2006-07-23,3.476257915,3.851963746,-1.383699519,37.1,-3.286,0.539,-0.638041943,17.4,24.29,-0.308656932,1.469675016,10.17433741,1.785714286,52.29412349,1.988331664,-6.220095694,28.53,-3.767683363,13512.97,-13989.16,476.23
2006-07-30,0.148245377,0.650940579,-5.754384777,25,-5.579,0.472,0.54073996,14.33,22.91,-0.826716454,0.519693654,-50.54074365,2.955596022,-28.64326785,-0.327162374,102.0242915,29.66,-2.212293769,16492.12,-16948.33,456.24
2006-08-06,2.400445864,3.023679417,-4.064288706,20.3,-14.018,0.483,1.777613672,14.34,22.1,-0.843772571,0.305768839,-50.86979764,3.862660944,-29.25037703,2.102018908,107.8947368,28.65,-1.984878948,23403.95,-20914.31,-2489.62
2006-08-13,2.94551162,3.277274687,-1.159632634,23.1,-9.963,0.417,0.828222467,14.3,22.98,-1.237824907,-1.95826862,-49.42923965,-1.150599129,-29.7562564,4.793172146,106.9444444,26.86,-1.756477251,24301.58,-20635.79,-3665.79
2006-08-20,4.701375725,4.951515152,0.050758661,19.7,-22.837,0.323,0.910574241,11.64,19.23,-1.282138484,-0.285597715,-48.42698204,-0.013636983,-30.74146218,4.998150973,102.6239067,29.11,-1.407376774,27619.28,-19032.44,-8586.85
2006-08-27,2.488686039,2.598789605,-0.050297293,13.9,-28.714,0.438,0.85130474,12.31,19.22,-1.155232522,-0.163265306,13.04043911,-0.629697339,-32.290537,2.62136252,-9.385437542,32.75,-0.443889853,23568.74,-21984.12,-1584.63
2006-09-03,3.998436194,3.718764734,5.089586176,3.7,-28.008,0.47,-0.435345945,11.96,17.85,-0.997591686,0.467416339,12.74420364,0.82256968,-33.10515546,3.511509067,-7.800205269,37.9,0.625217089,27695.72,-20827.87,-6867.86
2006-09-10,4.859530996,4.849388607,8.046351031,4.5,-15.417,0.429,-0.493891344,13.16,19.31,-0.808903415,1.832082099,7.536779235,0.407470289,-35.96338024,3.184656055,-4.344754504,39.5,0.846718392,25109.07,-13933.63,-11175.44
2006-09-17,2.253775073,1.928740544,9.840372525,-6.4,-13.026,0.368,-0.219069476,11.76,16.62,-1.113580873,0.872885979,6.865089653,1.600384642,-36.62987129,1.373587065,-4.388489209,42.27,1.068961449,21102.29,-18886.18,-2216.11
2006-09-24,1.431526686,1.202868378,7.729911396,-19.2,-28.178,0.506,-1.580123707,12.59,18.25,-0.499211289,2.357590624,7.371334151,3.650037949,-37.58678274,-0.635291782,-5.565794324,45.77,0.481773553,18217.01,-14424.27,-3792.74
