,EQ_AC,EQ_DM,EQ_EM,EQ_KOSPI2,BD_K,BD_Global,AI_RA,CO_Gold,CO_Oil,RF,,,,,,,,,,,,
2006-02-28,0.1261,0.1128,0.3286,0.3561,0.0330,-0.0278,0.2938,0.2886,0.1867,0.049,,,,,,,,,,,,
2006-03-31,0.1757,0.1597,0.4358,0.4122,0.0304,-0.0257,0.3883,0.3571,0.2027,0.0493,,,,,,,,,,,,
2006-04-28,0.2429,0.2223,0.5819,0.5657,0.0300,-0.0201,0.3412,0.5008,0.4457,0.0481,,,,,,,,,,,,
2006-05-31,0.1714,0.1592,0.3701,0.3698,0.0293,0.0061,0.2701,0.5434,0.3718,0.0472,,,,,,,,,,,,
2006-06-30,0.1593,0.1490,0.3227,0.2937,0.0350,0.0026,0.2633,0.4093,0.3085,0.0492,,,,,,,,,,,,
2006-07-31,0.1255,0.1170,0.2544,0.1758,0.0426,0.0207,0.2462,0.4752,0.2283,0.0483,,,,,,,,,,,,
2006-08-31,0.1458,0.1373,0.2753,0.2523,0.0435,0.0158,0.3071,0.4438,0.0191,0.0476,,,,,,,,,,,,
2006-09-29,0.1253,0.1218,0.1767,0.1301,0.0575,0.0321,0.3106,0.2763,-0.0503,0.0457,,,,,,,,,,,,
2006-10-31,0.1999,0.1919,0.3191,0.1881,0.0620,0.0579,0.4330,0.2996,-0.0172,0.0471,,,,,,,,,,,,
2006-11-30,0.1905,0.1817,0.3085,0.1146,0.0630,0.0914,0.4548,0.3079,0.1014,0.0482,,,,,,,,,,,,
2006-12-29,0.1878,0.1795,0.2918,0.0449,0.0587,0.0664,0.4372,0.2295,0.0002,0.0492,,,,,,,,,,,,
2007-01-31,0.1433,0.1424,0.1502,-0.0258,0.0532,0.0428,0.4082,0.1423,-0.1440,0.0502,,,,,,,,,,,,
2007-02-28,0.1391,0.1382,0.1450,0.0324,0.0530,0.0680,0.3842,0.1926,0.0062,0.0486,,,,,,,,,,,,
2007-03-30,0.1380,0.1342,0.1793,0.0646,0.0554,0.0812,0.3357,0.1396,-0.0114,0.0476,,,,,,,,,,,,
2007-04-30,0.1498,0.1489,0.1525,0.0785,0.0464,0.0732,0.3552,0.0443,-0.0858,0.0505,,,,,,,,,,,,
2007-05-31,0.2326,0.2228,0.3513,0.2657,0.0421,0.0430,0.4219,0.0288,-0.1021,0.0517,,,,,,,,,,,,
2007-06-29,0.2297,0.2140,0.4176,0.3216,0.0423,0.0467,0.2810,0.0567,-0.0440,0.0526,,,,,,,,,,,,
2007-07-31,0.2027,0.1798,0.4722,0.4499,0.0418,0.0574,0.1828,0.0516,0.0512,0.0522,,,,,,,,,,,,
2007-08-31,0.1693,0.1492,0.4060,0.3582,0.0345,0.0582,0.1646,0.0758,0.0538,0.0543,,,,,,,,,,,,
2007-09-28,0.2177,0.1895,0.5484,0.3884,0.0285,0.0820,0.2076,0.2409,0.2980,0.0546,,,,,,,,,,,,
2007-10-31,0.2192,0.1823,0.6422,0.4726,0.0332,0.0891,0.1737,0.3106,0.6096,0.0543,,,,,,,,,,,,
2007-11-30,0.1335,0.1070,0.4210,0.3079,0.0273,0.0835,0.0301,0.2092,0.4052,0.0577,,,,,,,,,,,,
2007-12-31,0.0964,0.0709,0.3648,0.3014,0.0285,0.0948,-0.0465,0.3135,0.5722,0.0574,,,,,,,,,,,,
2008-01-31,-0.0034,-0.0226,0.2077,0.1806,0.0509,0.1364,-0.1347,0.4152,0.5781,0.0504,,,,,,,,,,,,
2008-02-29,0.0044,-0.0234,0.3039,0.1837,0.0508,0.1321,-0.1518,0.4498,0.6482,0.0497,,,,,,,,,,,,
2008-03-31,-0.0301,-0.0507,0.1890,0.1602,0.0457,0.1525,-0.1638,0.3819,0.5421,0.051,,,,,,,,,,,,
2008-04-30,-0.0200,-0.0436,0.2285,0.1836,0.0567,0.1178,-0.1209,0.2657,0.7267,0.0488,,,,,,,,,,,,
2008-05-30,-0.0343,-0.0564,0.1924,0.0971,0.0462,0.1230,-0.1539,0.3424,0.9895,0.0546,,,,,,,,,,,,
2008-06-30,-0.1110,-0.1250,0.0259,-0.0352,0.0403,0.1290,-0.2007,0.4262,0.9808,0.059,,,,,,,,,,,,
2008-07-31,-0.1210,-0.1272,-0.0637,-0.1645,0.0376,0.1080,-0.1555,0.3704,0.5865,0.058,,,,,,,,,,,,
2008-08-29,-0.1376,-0.1388,-0.1203,-0.2070,0.0417,0.0764,-0.1946,0.2299,0.5594,0.0577,,,,,,,,,,,,
2008-09-30,-0.2844,-0.2762,-0.3469,-0.2451,0.0427,0.0280,-0.3174,0.1769,0.2324,0.0574,,,,,,,,,,,,
2008-10-31,-0.4479,-0.4310,-0.5734,-0.4336,0.0498,-0.0257,-0.5244,-0.0969,-0.2827,0.0447,,,,,,,,,,,,
2008-11-28,-0.4608,-0.4457,-0.5757,-0.4185,0.0544,-0.0164,-0.5571,0.0435,-0.3864,0.0487,,,,,,,,,,,,
2008-12-31,-0.4354,-0.4208,-0.5448,-0.3934,0.1014,0.0479,-0.4890,0.0553,-0.5353,0.0341,,,,,,,,,,,,
2009-01-30,-0.4377,-0.4279,-0.5136,-0.2716,0.0814,-0.0138,-0.5296,0.0050,-0.5457,0.0359,,,,,,,,,,,,
2009-02-27,-0.4947,-0.4841,-0.5724,-0.3633,0.0750,-0.0517,-0.5988,-0.0333,-0.5605,0.0382,,,,,,,,,,,,
2009-03-31,-0.4449,-0.4398,-0.4840,-0.2786,0.0800,-0.0492,-0.5664,0.0070,-0.5111,0.0394,,,,,,,,,,,,
2009-04-30,-0.4124,-0.4082,-0.4438,-0.2511,0.0867,-0.0220,-0.5059,0.0302,-0.5494,0.0359,,,,,,,,,,,,
2009-05-29,-0.3638,-0.3642,-0.3611,-0.2475,0.0924,0.0242,-0.4255,0.1031,-0.4793,0.0383,,,,,,,,,,,,
2009-06-30,-0.3109,-0.3124,-0.2997,-0.1617,0.0968,0.0276,-0.3463,-0.0010,-0.5008,0.0416,,,,,,,,,,,,
2009-07-31,-0.2303,-0.2356,-0.1899,-0.0057,0.0946,0.0489,-0.2858,0.0435,-0.4403,0.0426,,,,,,,,,,,,
2009-08-31,-0.1852,-0.1928,-0.1221,0.0978,0.0916,0.0852,-0.2140,0.1456,-0.3941,0.0438,,,,,,,,,,,,
2009-09-30,-0.0256,-0.0469,0.1616,0.1775,0.0929,0.1351,-0.0778,0.1531,-0.2984,0.0439,,,,,,,,,,,,
2009-10-30,0.1969,0.1556,0.6025,0.4021,0.0831,0.1841,0.2663,0.4486,0.1355,0.0444,,,,,,,,,,,,
2009-11-30,0.3346,0.2868,0.8087,0.4556,0.0956,0.1801,0.5015,0.4471,0.4198,0.041,,,,,,,,,,,,
2009-12-31,0.3152,0.2698,0.7450,0.5160,0.0434,0.0693,0.4125,0.2396,0.7794,0.0441,,,,,,,,,,,,
2010-01-29,0.3765,0.3346,0.7631,0.3899,0.0464,0.1100,0.5202,0.1679,0.7488,0.0427,,,,,,,,,,,,
2010-02-26,0.5467,0.5094,0.8745,0.5091,0.0563,0.1362,0.8619,0.1872,0.7797,0.041,,,,,,,,,,,,
2010-03-31,0.5215,0.4909,0.7726,0.4112,0.0635,0.1023,0.8506,0.2067,0.6867,0.0389,,,,,,,,,,,,
2010-04-30,0.3645,0.3421,0.5391,0.2952,0.0544,0.0926,0.5638,0.3248,0.6853,0.0361,,,,,,,,,,,,
2010-05-31,0.1236,0.1132,0.1983,0.1994,0.0560,0.0385,0.2644,0.2385,0.1155,0.0358,,,,,,,,,,,,
