Type,Return
Innovator,62.51974724
Innovator,45.78231293
Innovator,42.48962622
Innovator,39.68400703
Innovator,34.04598628
Innovator,33.95319518
Innovator,33.71861299
Innovator,30.72806009
Innovator,29.2986627
Innovator,27.72177419
Innovator,25.68578554
Innovator,25.27154236
Innovator,24.41528067
Innovator,22.51170364
Innovator,22.11843383
Innovator,19.94699352
Innovator,18.10123063
Innovator,18.02893474
Innovator,17.54184847
Innovator,17.05842848
Innovator,16.75247525
Innovator,16.73090226
Innovator,16.30643087
Innovator,15.58883594
Innovator,14.74974658
Innovator,14.74590605
Innovator,13.37583681
Innovator,13.04195804
Innovator,12.87485006
Innovator,12.86497629
Innovator,12.58457375
Innovator,11.80223285
Innovator,10.90186191
Innovator,9.958978652
Innovator,9.243750743
Innovator,9.126425285
Innovator,8.723509118
Innovator,7.927437623
Innovator,7.398212512
Innovator,6.846039604
Innovator,6.778428088
Innovator,6.477395312
Innovator,6.47388067
Innovator,6.303228667
Innovator,5.980980981
Innovator,5.900932695
Innovator,5.462184874
Innovator,5.310049893
Innovator,5.129224652
Innovator,4.934100834
Innovator,4.928015564
Innovator,4.924242424
Innovator,4.8
Innovator,4.499988287
Innovator,4.17218543
Innovator,4.072119255
Innovator,3.324968632
Innovator,3.232870929
Innovator,2.99207607
Innovator,2.731585518
Innovator,2.693515581
Innovator,1.971275697
Innovator,1.613160837
Innovator,1.592356688
Innovator,1.401682018
Innovator,0.310318076
Innovator,-0.26029831
Innovator,-0.467950647
Innovator,-0.46992666
Innovator,-0.818267141
Innovator,-1.085271318
Innovator,-1.343781095
Innovator,-1.512639867
Innovator,-2.355250245
Innovator,-3.052677297
Innovator,-3.209954902
Innovator,-3.304140127
Innovator,-3.876852908
Innovator,-3.947016323
Innovator,-3.982076654
Innovator,-4.786967419
Innovator,-5.71201904
Innovator,-6.080114449
Innovator,-6.282101936
Innovator,-7.462173315
Innovator,-7.828655835
Innovator,-8.352767769
Innovator,-8.561726898
Innovator,-8.919449902
Innovator,-9.564257606
Innovator,-9.792838939
Innovator,-9.946213741
Innovator,-10.19880716
Innovator,-11.08344374
Innovator,-11.27313517
Innovator,-12.39919355
Innovator,-13.76485047
Innovator,-15.41882876
Innovator,-16.3099186
