Index,Innovator,Early Adopter,Early Majority,Late Majority
0,12.9,62.5,68.3,43.1
1,14.0,45.8,51.1,41.6
2,14.4,42.5,48.4,35.8
3,14.5,39.7,42.1,32.8
4,14.7,34.0,42.0,31.3
5,14.7,34.0,37.3,30.2
6,14.8,33.7,36.0,26.9
7,14.9,30.7,35.4,25.9
8,15.0,29.3,33.7,24.2
9,15.0,27.7,33.0,22.5
10,15.0,25.7,29.7,22.2
11,15.0,25.3,28.7,17.4
12,15.2,24.4,28.0,17.3
13,15.2,22.5,27.7,13.6
14,15.2,22.1,27.0,13.2
15,15.2,19.9,24.2,11.7
16,15.4,18.1,24.2,10.9
17,15.4,18.0,22.3,9.8
18,15.4,17.5,20.3,9.5
19,15.6,17.1,19.2,9.2
20,15.6,16.8,18.5,8.8
21,15.9,16.7,17.4,8.8
22,15.9,16.3,17.3,7.9
23,16.4,15.6,16.6,7.1
24,17.5,14.7,16.6,6.6
25,19.6,14.7,16.2,5.1
26,19.7,13.4,15.2,3.8
27,19.8,13.0,15.0,3.4
28,19.8,12.9,14.6,2.7
29,20.0,12.9,14.6,1.9
30,20.0,12.6,13.6,-0.3
31,20.1,11.8,13.0,-0.3
32,20.1,10.9,12.3,-0.7
33,20.2,10.0,12.1,-0.9
34,20.3,9.2,11.8,-0.9
35,20.3,9.1,10.9,-2.9
36,20.4,8.7,10.6,-5.1
37,20.7,7.9,10.6,-7.9
38,22.9,7.4,10.4,-9.1
39,23.8,6.8,10.0,-9.6
40,23.9,6.8,9.0,-17.1
41,24.0,6.5,8.9,-20.9
42,24.1,6.5,8.6,-30.5
43,24.1,6.3,7.9,
44,24.2,6.0,7.3,
45,24.4,5.9,7.2,
46,24.4,5.5,6.1,
47,24.4,5.3,5.7,
48,24.4,5.1,5.6,
49,24.6,4.9,3.8,
50,24.8,4.9,1.4,
51,24.8,4.9,0.9,
52,24.9,4.8,0.5,
53,24.9,4.5,0.4,
54,25.0,4.2,-0.1,
55,25.0,4.1,-0.7,
56,25.0,3.3,-0.7,
57,25.0,3.2,-2.7,
58,25.1,3.0,-2.8,
59,25.1,2.7,-4.6,
60,25.1,2.7,-5.2,
61,25.1,2.0,-5.3,
62,25.1,1.6,-5.6,
63,25.1,1.6,-5.8,
64,25.2,1.4,-6.6,
65,25.2,0.3,-8.6,
66,25.2,-0.3,-9.8,
67,25.2,-0.5,-10.6,
68,25.2,-0.5,-10.8,
69,25.2,-0.8,-11.0,
70,25.2,-1.1,-11.3,
71,25.2,-1.3,-12.0,
72,25.2,-1.5,-13.0,
73,25.3,-2.4,-13.1,
74,25.3,-3.1,-14.5,
75,25.3,-3.2,-14.8,
76,25.4,-3.3,-15.0,
77,25.4,-3.9,-15.2,
78,25.5,-3.9,-17.0,
79,25.7,-4.0,-19.6,
80,25.8,-4.8,-21.3,
81,25.8,-5.7,-24.5,
82,25.8,-6.1,-24.7,
83,25.8,-6.3,-27.7,
84,25.8,-7.5,-29.7,
85,25.9,-7.8,-31.2,
86,26.0,-8.4,-37.1,
87,26.1,-8.6,-37.5,
88,27.0,-8.9,-57.8,
89,27.9,-9.6,-66.3,
90,28.1,-9.8,74.4,
91,28.1,-9.9,59.2,
92,28.4,-10.2,58.6,
93,28.5,-11.1,51.2,
94,28.8,-11.3,42.3,
95,29.1,-12.4,36.5,
96,29.5,-13.8,36.3,
97,29.9,-15.4,22.7,
98,29.9,-16.3,21.8,
99,30.1,-17.7,21.3,
100,30.2,-18.3,19.3,
101,30.5,-18.4,18.4,
102,31.1,-18.9,17.4,
103,31.4,-19.4,16.8,
104,31.7,-20.3,16.1,
105,33.2,-20.9,15.1,
106,33.2,-21.6,13.0,
107,33.4,-23.3,12.1,
108,34.3,-28.2,11.7,
109,35.7,-28.8,10.5,
110,37.4,-29.5,9.1,
111,39.7,-32.2,8.0,
112,39.9,-38.4,7.8,
113,40.4,-44.5,7.1,
114,40.5,-50.5,4.3,
115,40.8,-51.2,4.2,
116,41.2,-52.1,3.2,
117,42.7,-57.0,2.7,
118,47.8,-66.1,1.6,
119,47.8,-68.2,1.3,
120,48.5,,1.1,
121,49.1,,0.1,
122,50.0,,-0.6,
123,50.0,,-0.7,
124,50.2,,-1.4,
125,50.3,,-1.7,
126,50.6,,-2.1,
127,50.9,,-2.2,
128,50.9,,-2.2,
129,51.3,,-7.9,
130,51.3,,-9.5,
131,62.6,,-9.6,
132,71.0,,-11.9,
133,85.8,,-17.4,
134,142.0,,-18.1,
135,237.2,,-19.7,
136,,,-26.8,

