Ticker,Holdings,Adoption,Stage,HG,LTG_W,LTG_M,Direction,
CLOU,38,148.0,2.2,23.0,17.0,28.7,5.6,
CIBR,41,46.2,6.0,16.1,10.3,11.2,-5.0,
AIQ,93,431.0,3.1,22.6,19.0,20.0,-2.6,
ARKW,47,139.6,6.8,7.6,14.4,32.4,24.8,
FIVG,76,101.8,2.3,10.6,15.5,19.4,8.8,
WFH,42,236.2,1.0,22.8,14.9,20.5,-2.3,
SNSR,52,34.8,4.8,7.4,15.7,20.7,13.3,
ARKX,42,170.1,0.3,17.5,7.7,17.0,-0.5,
SOCL,48,306.0,9.6,20.5,15.0,28.1,7.6,
ESPO,25,140.2,2.7,25.8,13.4,22.9,-2.9,
ARKK,55,118.2,6.7,3.0,11.8,24.5,21.5,
BLOK,49,74.7,3.5,2.7,7.9,20.8,18.1,
ARKF,47,161.7,2.4,12.0,17.0,28.4,16.4,
IPAY,48,109.8,6.0,10.5,19.9,22.9,12.4,
IDRV,113,282.5,2.2,10.0,19.6,30.4,20.4,
LIT,49,55.2,11.0,13.9,17.2,33.0,19.1,
DRIV,82,280.5,3.2,8.7,20.9,34.3,25.7,
HDRO,26,14.4,0.3,1.9,-6.4,-29.5,-31.4,
PRNT,63,111.1,5.0,5.1,11.4,23.0,17.9,
ARKQ,46,200.3,6.8,12.7,14.0,19.8,7.1,
BFIT,72,23.0,5.1,11.0,19.1,26.9,15.9,
ARKG,61,35.6,6.7,7.2,3.3,13.5,6.2,
EDOC,43,35.7,0.9,4.8,7.7,16.5,11.7,
AGNG,107,83.1,5.1,11.0,8.1,16.1,5.1,
MJ,32,18.0,5.6,3.3,3.6,20.8,17.5,
ONLN,27,503.6,3.0,33.7,17.1,23.8,-9.9,
EMQQ,103,180.2,6.6,17.2,16.8,27.7,10.5,
KOMP,406,82.2,2.7,9.6,12.0,19.0,9.4,
ICLN,96,30.8,13.0,6.8,6.0,6.3,-0.5,
TAN,50,8.9,13.2,5.1,12.4,14.1,9.0,
FAN,53,28.4,13.0,6.2,6.8,14.1,8.0,
ERTH,141,56.3,14.7,6.0,11.3,22.5,16.6,
PHO,38,34.0,15.6,8.8,11.1,14.4,5.6,
EVX,24,21.7,14.7,9.5,7.0,14.8,5.3,
PAVE,100,28.4,4.3,12.7,12.4,19.1,6.4,
