Ticker,Holdings,Adoption,Stage,HG,LTG_W,LTG_M,Direction,LTG_M - HG,,,,,,,
DRIV,82,280,3.5,7.2,27.6,42.5,35.3,>20,,,,,,,
ARKW,47,135,7.0,7.6,14.4,32.4,24.8,>20,,,,,,,
ARKK,50,122,7.0,3.0,11.8,24.5,21.5,>20,,,,,,,
IDRV,112,332,2.5,10.0,19.6,30.4,20.4,>20,,,,,,,
LIT,45,62,11.2,13.9,17.2,33.0,19.1,>10,,,,,,,
BLOK,49,69,3.7,2.7,7.9,20.8,18.1,>10,,,,,,,
PRNT,61,100,5.2,5.1,11.4,23.0,17.9,>10,,,,,,,
MJ,33,15,5.9,3.3,3.6,20.8,17.5,>10,,,,,,,
ERTH,137,67,15.0,6.0,11.3,22.5,16.5,>10,,,,,,,
ARKF,46,129,2.7,12.0,17.0,28.4,16.4,>10,,,,,,,
BFIT,72,23,5.4,11.0,19.1,26.9,15.9,>10,,,,,,,
SNSR,54,35,5.1,7.4,15.7,20.7,13.3,>10,,,,,,,
IPAY,58,104,6.2,10.5,19.9,22.9,12.4,>10,,,,,,,
EDOC,43,35,1.2,4.8,7.7,16.5,11.7,>10,,,,,,,
EMQQ,123,157,6.9,17.2,16.8,27.7,10.5,>10,,,,,,,
KOMP,497,70,3.0,9.6,12.0,19.0,9.4,>0,,,,,,,
TAN,46,9,13.5,5.1,12.4,14.1,9.0,>0,,,,,,,
FIVG,89,113,2.6,10.6,15.5,19.4,8.8,>0,,,,,,,
FAN,53,27,13.3,6.2,6.8,14.1,7.9,>0,,,,,,,
SOCL,48,318,9.9,20.5,15.0,28.1,7.6,>0,,,,,,,
ARKQ,43,192,7.0,12.7,14.0,19.8,7.1,>0,,,,,,,
PAVE,103,27,4.6,12.7,12.4,19.1,6.4,>0,,,,,,,
ARKG,64,22,7.0,7.2,3.3,13.5,6.3,>0,,,,,,,
CLOU,36,153,2.5,23.0,17.0,28.7,5.7,>0,,,,,,,
PHO,39,37,15.9,8.8,11.1,14.4,5.6,>0,,,,,,,
EVX,24,24,15.0,9.5,7.0,14.8,5.3,>0,,,,,,,
AGNG,107,86,5.4,11.0,8.1,16.1,5.1,>0,,,,,,,
ARKX,37,114,0.5,17.5,7.7,17.0,-0.5,<0,,,,,,,
ICLN,95,29,13.3,6.8,6.0,6.3,-0.5,<0,,,,,,,
WFH,44,221,1.3,22.8,14.9,20.5,-2.3,<0,,,,,,,
AIQ,94,415,3.4,22.6,19.0,20.0,-2.6,<0,,,,,,,
ESPO,26,142,3.0,25.8,13.4,22.9,-2.9,<0,,,,,,,
CIBR,40,50,6.3,16.1,10.3,11.2,-4.9,<0,,,,,,,
ONLN,41,477,3.2,33.7,17.1,23.8,-9.9,<0,,,,,,,
HDRO,27,9,0.6,1.9,-6.4,-29.5,-31.4,<-10,,,,,,,
